"certified","forum.posts","grade","assignment"
"yes",87,2,13
"yes",36,3,16
"yes",114,4,17
"yes",97,4,16
"no",59,5,13
"yes",1,2,15
"yes",36,3,13
"yes",139,4,12
"yes",139,3,16
"yes",139,4,5
"yes",120,3,13
"yes",140,2,17
"yes",130,3,12
"yes",18,7,12
"yes",15,2,9
"yes",175,3,13
"yes",128,5,16
"yes",130,2,16
"yes",139,7,5
"yes",26,2,5
"yes",93,5,1
"no",206,4,14
"no",2,2,11
"yes",73,2,15
"no",130,4,10
"yes",118,5,12
"yes",97,6,15
"yes",31,4,10
"yes",177,7,14
"no",68,5,10
"yes",81,3,17
"yes",158,3,5
"yes",8,3,18
"yes",151,3,12
"yes",97,2,14
"no",9,3,9
"yes",22,5,1
"yes",18,3,15
"yes",113,3,13
"yes",51,4,15
"yes",1,5,14
"yes",97,3,2
"yes",151,2,10
"yes",15,2,6
"yes",17,4,16
"yes",127,4,13
"yes",15,3,12
"yes",131,4,16
"yes",1,5,10
"yes",130,3,12
"yes",130,3,15
"yes",73,5,15
"yes",52,3,14
"no",61,3,5
"yes",59,7,16
"no",143,4,12
"yes",15,5,8
"yes",4,2,9
"yes",78,5,6
"no",78,5,13
"yes",91,4,11
"yes",157,2,13
"yes",36,3,12
"yes",175,5,16
"yes",178,5,13
"yes",105,4,16
"yes",73,3,14
"no",2,3,13
"yes",26,5,2
"yes",18,5,5
"yes",120,4,9
"yes",15,10,16
"yes",175,3,8
"yes",120,2,11
"no",71,4,13
"yes",2,5,10
"yes",17,3,16
"yes",1,10,6
"yes",151,3,5
"no",68,2,10
"yes",96,7,12
"yes",42,5,6
"yes",20,4,15
"yes",131,4,8
"no",102,3,16
"yes",195,4,12
"no",177,5,6
"yes",68,3,5
"yes",22,3,17
"yes",9,5,10
"yes",37,4,16
"yes",78,7,15
"yes",1,3,9
"yes",91,3,13
"no",15,3,15
"yes",195,6,17
"yes",15,3,16
"yes",118,4,11
"yes",118,5,11
"yes",1,2,12
"yes",159,3,15
"yes",118,3,5
"yes",120,5,10
"yes",131,5,15
"yes",42,3,9
"no",168,6,13
"yes",131,3,16
"yes",177,4,6
"yes",18,5,12
"no",102,4,15
"yes",118,5,17
"no",118,6,3
"no",1,4,16
"no",151,5,8
"no",102,7,16
"yes",11,5,1
"yes",139,3,12
"yes",73,6,5
"yes",1,2,6
"yes",78,4,16
"yes",2,6,8
"yes",97,3,6
"no",177,3,13
"yes",93,3,18
"no",121,4,16
"no",127,3,15
"yes",93,4,6
"yes",131,3,13
"yes",37,3,12
"yes",8,2,3
"yes",15,5,15
"yes",131,3,3
"no",9,5,16
"yes",11,5,12
"yes",100,2,16
"no",81,3,3
"no",140,3,16
"no",31,2,11
"no",80,4,12
"yes",177,7,17
"yes",1,3,1
"yes",2,3,10
"yes",93,3,16
"yes",87,2,16
"yes",143,6,16
"yes",102,2,1
"yes",136,3,1
"yes",18,6,6
"yes",102,3,1
"yes",158,3,13
"yes",206,3,11
"yes",195,3,18
"yes",96,2,16
"yes",42,2,16
"no",130,3,13
"yes",127,5,10
"yes",112,3,10
"yes",97,3,15
"yes",139,5,15
"yes",113,5,15
"yes",105,4,10
"no",96,5,13
"yes",100,5,12
"yes",127,6,1
"yes",114,2,3
"yes",91,5,16
"no",18,3,16
"yes",1,5,3
"yes",78,5,8
"yes",11,6,13
"yes",151,6,1
"no",143,4,13
"yes",36,4,13
"yes",157,4,2
"yes",82,5,8
"yes",102,6,16
"yes",42,4,16
"yes",143,5,16
"yes",139,2,2
"yes",120,4,15
"no",78,5,15
"yes",139,3,13
"no",102,3,3
"yes",73,4,2
"yes",15,4,16
"yes",61,3,15
"yes",73,3,10
"yes",37,2,8
"yes",177,5,14
"yes",151,4,17
"yes",159,3,14
"yes",139,3,13
"yes",91,2,16
"yes",36,4,6
"yes",1,2,15
"yes",1,3,15
"no",78,3,16
"yes",61,2,16
"no",59,4,16
"yes",131,4,13
"no",51,3,15
"yes",158,3,8
"yes",97,3,18
"yes",130,7,16
"yes",1,5,16
"yes",143,4,1
"yes",42,2,12
"yes",178,5,10
"yes",52,3,11
"yes",136,3,17
"no",1,3,5
"yes",22,5,16
"yes",2,3,6
"yes",1,5,6
"yes",18,5,3
"yes",73,9,9
"no",1,4,15
"yes",2,5,16
"no",9,3,16
"yes",17,5,13
"no",195,6,14
"yes",140,10,13
"yes",1,3,1
"yes",31,3,18
"yes",130,3,16
"yes",93,5,13
"yes",105,7,13
"yes",72,3,16
"yes",81,3,9
"yes",168,2,13
"no",36,5,13
"yes",11,4,1
"yes",128,3,14
"yes",158,4,16
"yes",73,7,13
"yes",78,4,3
"no",20,4,2
"yes",105,3,17
"yes",157,4,12
"yes",120,7,12
"yes",59,3,12
"no",139,2,16
"yes",20,3,16
"no",120,4,12
"yes",139,4,1
"yes",112,2,16
"yes",118,7,9
"yes",148,3,14
"no",139,4,16
"yes",18,3,6
"yes",18,5,1
"yes",36,3,14
"no",118,6,13
"no",139,5,11
"yes",159,7,16
"yes",78,7,11
"yes",195,6,2
"no",121,4,1
"yes",143,2,15
"yes",175,5,17
"yes",113,3,1
"yes",113,5,10
"yes",2,3,12
"yes",120,3,17
"no",93,3,15
"yes",68,2,1
"no",102,4,12
"yes",157,4,1
"yes",87,3,17
"yes",130,5,11
"no",1,5,16
"no",159,6,16
"yes",18,2,11
"yes",114,4,5
"yes",128,4,13
"yes",120,3,13
"yes",52,4,2
"yes",61,2,16
"no",26,6,2
"yes",15,2,16
"no",125,5,13
"yes",159,5,14
"yes",148,3,16
"yes",1,3,6
"yes",2,3,16
"yes",91,3,1
"no",128,5,11
"yes",51,3,15
"yes",178,4,13
"no",128,3,16
"yes",102,6,17
"no",112,3,13
"no",96,5,9
"no",130,7,5
"no",206,2,5
"yes",15,4,17
"yes",11,4,15
"no",91,2,13
"yes",8,5,2
"yes",130,5,16
"no",80,2,3
"no",127,3,16
"yes",35,5,15
"yes",195,4,16
"yes",22,4,16
"yes",61,7,1
"yes",1,3,13
"yes",26,5,5
"no",121,3,9
"yes",120,4,17
"yes",113,7,17
"yes",120,3,5
"yes",118,3,9
"yes",143,5,9
"yes",131,5,6
"yes",71,4,13
"yes",80,2,6
"yes",120,3,9
"no",105,2,14
"yes",130,4,3
"yes",121,3,16
"yes",177,2,15
"yes",71,4,12
"yes",26,6,15
"yes",118,7,12
"no",8,5,5
"yes",1,2,6
"no",73,3,17
"yes",158,3,14
"yes",4,2,10
"yes",15,2,3
"no",1,3,10
"yes",175,4,15
"yes",2,4,16
"yes",37,3,16
"yes",68,5,1
"yes",148,7,13
"yes",20,4,16
"yes",2,4,16
"yes",159,3,16
"yes",112,3,3
"yes",143,5,13
"no",118,4,15
"yes",71,7,11
"yes",37,4,6
"yes",71,4,5
"yes",159,3,12
"yes",81,5,2
"yes",61,5,14
"no",15,4,12
"yes",1,4,9
"yes",11,2,9
"yes",157,2,1
"yes",157,3,14
"yes",1,5,12
"no",36,2,13
"yes",118,5,5
"yes",71,2,9
"no",97,4,16
"yes",130,4,10
"yes",131,3,9
"yes",9,3,3
"yes",52,4,13
"no",140,4,16
"yes",52,4,9
"yes",114,5,11
"yes",2,4,15
"yes",105,2,9
"no",82,9,17
"yes",36,3,16
"yes",52,5,16
"no",1,3,15
"yes",31,3,15
"yes",158,7,17
"yes",177,3,2
"yes",158,2,13
"yes",73,4,1
"yes",52,4,14
"yes",177,4,16
"no",113,4,18
"yes",22,2,12
"no",120,3,3
"yes",105,4,17
"yes",2,3,15
"yes",4,4,2
"yes",130,4,16
"yes",159,5,17
"yes",130,3,16
"yes",125,7,3
"yes",131,2,16
"yes",11,5,13
"yes",1,3,15
"yes",9,5,14
"no",97,5,15
"no",37,3,10
"yes",148,5,14
"yes",1,4,6
"yes",139,7,16
"yes",131,2,14
"yes",11,3,15
"no",158,4,12
"yes",143,5,16
"yes",61,2,1
"yes",73,3,13
"no",113,5,16
"yes",118,7,16
"yes",131,4,17
"yes",120,3,1
"yes",2,5,13
"yes",26,2,10
"no",20,5,9
"yes",130,5,8
"yes",158,5,16
"no",127,3,6
"no",118,6,1
"yes",158,4,1
"yes",11,10,15
"yes",82,3,1
"yes",121,2,3
"yes",1,5,15
"yes",178,5,13
"yes",61,5,16
"yes",20,4,8
"yes",36,4,16
"no",61,3,16
"yes",35,5,12
"yes",52,7,6
"yes",51,5,6
"yes",9,3,16
"yes",143,4,13
"yes",71,10,14
"yes",22,4,1
"yes",61,9,16
"yes",59,4,5
"yes",61,5,9
"yes",61,3,9
"no",59,5,6
"yes",139,5,18
"no",158,3,1
"yes",81,5,16
"yes",206,4,16
"yes",2,5,9
"yes",131,3,9
"yes",1,5,6
"yes",4,5,5
"yes",2,3,1
"yes",20,3,1
"yes",97,4,13
"yes",17,4,16
"yes",131,4,12
"no",113,3,13
"yes",195,5,16
"yes",4,2,10
"yes",59,3,14
"yes",195,5,9
"no",61,4,15
"yes",100,3,13
"yes",1,3,16
"no",125,3,13
"yes",148,3,14
"yes",195,5,1
"yes",35,4,16
"no",125,2,13
"yes",113,6,13
"no",2,4,15
"yes",158,2,15
"yes",78,2,18
"yes",2,3,3
"yes",15,4,13
"yes",51,4,13
"yes",35,6,15
"no",112,3,17
"yes",177,3,17
"no",206,3,10
"no",81,5,9
"no",195,4,16
"yes",175,7,16
"yes",22,5,14
"yes",2,4,17
"no",81,5,9
"yes",27,4,5
"yes",112,7,10
"no",52,2,17
"yes",22,5,12
"yes",114,4,8
"no",127,10,1
"no",97,5,16
"yes",31,3,13
"yes",51,5,11
"yes",120,3,13
"yes",4,7,11
"yes",93,5,13
"no",113,3,12
"yes",97,5,9
"no",120,6,10
"yes",61,3,9
"no",1,3,13
"yes",206,3,15
"yes",18,7,18
"yes",97,3,8
"yes",20,3,17
"yes",127,5,3
"yes",2,4,9
"yes",139,2,16
"yes",125,5,9
"no",18,2,16
"yes",18,5,17
"yes",8,5,14
"yes",96,4,14
"no",71,3,9
"no",120,3,6
"yes",97,3,16
"yes",15,3,12
"no",131,4,17
"no",130,6,17
"yes",91,3,16
"no",22,4,16
"yes",11,2,12
"yes",1,4,13
"yes",22,3,9
"yes",131,3,6
"no",125,2,3
"yes",91,3,9
"yes",22,4,5
"yes",73,4,13
"yes",11,5,16
"yes",140,5,16
"yes",131,4,16
"yes",113,5,6
"yes",52,6,9
"yes",80,4,13
"yes",2,4,16
"yes",22,3,12
"yes",177,2,16
"yes",72,4,17
"yes",82,2,5
"yes",120,4,16
"yes",2,4,13
"yes",18,3,3
"yes",22,4,16
"yes",128,2,9
"yes",139,3,9
"no",27,2,13
"yes",9,4,16
"yes",80,5,10
"yes",158,2,3
"yes",96,6,15
"no",15,7,15
"no",2,3,3
"yes",148,3,6
"yes",27,5,2
"no",52,7,18
"no",1,3,10
"yes",178,3,3
"yes",35,3,15
"yes",131,4,13
"yes",2,5,16
"yes",139,2,3
"yes",121,3,6
"yes",18,3,16
"no",8,3,12
"yes",36,2,12
"yes",96,2,9
"no",96,3,9
"yes",22,4,5
"yes",128,6,16
"no",177,2,15
"yes",18,4,16
"yes",31,6,16
"yes",136,3,13
"yes",177,5,12
"yes",93,5,12
"yes",143,2,5
"yes",78,4,13
"yes",118,5,15
"yes",140,6,3
"yes",9,4,6
"yes",71,4,16
"yes",178,2,18
"yes",37,3,15
"no",1,5,14
"yes",78,10,16
"yes",158,4,13
"no",15,7,16
"no",37,2,17
"yes",9,10,16
"yes",9,10,6
"yes",139,5,16
"yes",81,6,13
"yes",59,3,15
"yes",17,5,1
"yes",82,3,6
"yes",82,3,16
"yes",136,10,16
"yes",37,2,15
"no",195,2,13
"yes",15,4,15
"yes",175,2,17
"yes",73,9,16
"yes",31,5,16
"yes",1,7,2
"no",158,3,15
"yes",51,2,9
"yes",51,3,13
"yes",139,6,6
"no",130,3,16
"yes",130,3,12
"yes",127,2,6
"yes",206,5,8
"yes",143,4,14
"yes",36,6,17
"no",148,5,9
"yes",9,10,16
"yes",1,5,9
"no",1,2,12
"yes",22,2,16
"yes",121,3,11
"no",113,6,16
"yes",9,7,17
"yes",143,5,12
"yes",102,4,5
"yes",51,5,16
"yes",15,3,8
"yes",18,3,12
"yes",9,4,6
"no",59,3,10
"yes",131,4,16
"no",206,5,16
"yes",140,4,3
"yes",143,3,2
"no",120,7,10
"yes",96,7,13
"yes",206,4,1
"no",78,3,14
"yes",36,4,15
"yes",31,4,12
"yes",61,4,15
"yes",151,4,8
"no",120,7,2
"no",42,4,16
"yes",168,4,11
"no",136,4,13
"yes",120,3,13
"yes",105,3,15
"no",157,3,16
"no",35,3,13
"yes",158,3,1
"yes",59,4,15
"no",81,5,13
"yes",114,9,9
"yes",52,4,6
"yes",125,5,10
"yes",168,4,18
"yes",127,2,6
"yes",59,3,15
"yes",2,2,5
"no",72,5,16
"yes",9,9,11
"yes",81,2,5
"yes",71,4,17
"yes",105,6,6
"yes",61,4,10
"yes",81,3,1
"no",168,4,13
"yes",61,5,18
"yes",72,5,11
"yes",8,4,12
"yes",177,5,13
"yes",100,2,15
"yes",51,3,13
"yes",68,3,18
"no",81,3,6
"yes",36,5,17
"no",2,7,15
"yes",157,4,16
"no",131,5,10
"no",2,3,12
"no",97,4,16
"yes",148,2,16
"no",100,2,13
"yes",61,4,13
"yes",42,4,16
"no",15,3,16
"yes",68,5,14
"no",87,5,14
"yes",80,3,13
"yes",15,4,10
"yes",93,5,13
"no",72,5,5
"yes",20,7,13
"yes",35,5,1
"yes",17,5,16
"yes",36,2,16
"yes",140,3,13
"yes",71,2,1
"no",35,4,3
"yes",18,5,17
"yes",1,3,14
"yes",61,9,1
"yes",9,5,14
"yes",118,4,17
"no",158,4,12
"yes",158,5,6
"yes",31,9,1
"yes",81,7,16
"yes",125,9,1
"yes",17,5,16
"no",87,4,15
"yes",178,2,1
"yes",140,4,18
"yes",52,4,11
"yes",113,4,1
"no",20,3,12
"yes",140,4,13
"yes",36,2,5
"no",82,5,13
"yes",100,6,16
"yes",206,3,15
"yes",26,5,16
"yes",20,3,14
"yes",8,5,5
"yes",81,5,16
"yes",81,2,17
"yes",113,2,5
"yes",2,4,15
"yes",2,6,15
"yes",11,5,17
"no",143,4,10
"yes",73,4,16
"yes",1,6,16
"yes",158,3,16
"yes",100,2,15
"yes",168,3,13
"yes",177,5,15
"yes",131,3,16
"yes",130,6,11
"yes",22,7,14
"yes",125,4,15
"yes",91,5,3
"yes",178,4,16
"yes",36,4,11
"yes",140,5,13
"no",125,3,6
"yes",143,5,8
"yes",102,4,16
"yes",78,3,16
"yes",113,4,6
"yes",31,6,9
"yes",59,3,5
"yes",1,5,11
"no",11,5,16
"no",114,3,14
"no",175,3,16
"yes",131,3,14
"yes",159,5,12
"yes",1,3,14
"yes",195,4,15
"yes",35,2,13
"no",157,2,2
"no",128,4,13
"yes",139,2,13
"yes",130,4,9
"yes",195,4,6
"yes",82,5,16
"yes",151,2,17
"yes",131,6,16
"yes",2,5,6
"no",127,4,12
"yes",1,4,9
"yes",159,4,16
"yes",112,5,8
"yes",1,3,13
"yes",114,5,14
"yes",178,5,5
"yes",15,3,12
"no",93,3,14
"yes",158,5,16
"yes",121,4,2
"yes",175,5,1
"yes",114,5,10
"yes",20,4,3
"yes",91,4,15
"yes",139,4,10
"yes",1,4,10
"yes",131,4,6
"yes",100,5,14
"yes",1,5,15
"yes",168,4,12
"no",128,2,16
"yes",51,4,13
"yes",120,6,10
"yes",158,3,10
"no",78,4,6
"no",157,7,14
"yes",20,5,12
"yes",52,5,6
"yes",112,2,13
"yes",140,2,16
"no",35,3,6
"yes",157,3,15
"yes",178,7,13
"yes",52,3,12
"yes",9,5,16
"yes",61,3,9
"yes",93,5,13
"yes",102,3,12
"yes",2,2,12
"yes",100,3,14
"yes",1,3,16
"yes",11,5,8
"yes",9,6,17
"yes",78,3,16
"yes",177,7,17
"yes",51,4,12
"yes",102,7,16
"yes",118,2,13
"no",17,6,11
"yes",2,5,5
"yes",118,5,8
"yes",72,3,17
"yes",121,3,14
"no",113,3,3
"yes",1,3,17
"yes",159,5,11
"yes",128,5,16
"yes",9,2,9
"yes",102,7,11
"yes",15,3,8
"yes",2,5,13
"yes",1,7,10
"no",140,4,1
"no",80,4,12
"yes",96,5,11
"yes",139,6,13
"yes",8,3,11
"yes",159,4,9
"yes",178,4,17
"yes",52,10,15
"yes",52,6,13
"no",158,5,15
"no",120,3,13
"yes",1,5,16
"no",18,4,18
"no",22,7,8
"yes",72,5,1
"no",143,5,3
"no",128,4,8
"yes",22,4,13
"yes",1,7,5
"yes",18,4,13
"yes",130,6,13
"yes",157,3,3
"no",9,3,12
"yes",2,3,1
"no",143,4,13
"yes",82,5,13
"yes",125,5,16
"no",59,6,16
"yes",93,5,16
"yes",4,10,13
"yes",178,2,15
"yes",175,2,11
"yes",102,4,6
"no",36,3,17
"yes",118,5,3
"yes",80,3,17
"no",9,3,12
"no",31,3,16
"yes",82,3,13
"yes",177,4,8
"yes",9,5,13
"yes",93,3,16
"yes",1,3,13
"yes",97,9,15
"yes",121,7,13
"yes",130,7,1
"yes",128,9,3
"yes",27,4,16
"yes",195,4,14
"yes",112,3,11
"yes",73,5,9
"yes",4,5,17
"yes",159,7,16
"yes",36,3,13
"yes",27,5,13
"yes",139,3,3
"yes",1,3,11
"yes",130,3,16
"yes",61,5,11
"yes",96,4,9
"yes",73,5,6
"no",1,4,5
"yes",52,3,5
"yes",61,7,16
"yes",1,4,1
"yes",114,3,6
"no",96,3,1
"yes",159,4,16
"yes",118,7,2
"yes",130,4,2
"yes",158,2,8
"yes",68,3,16
"yes",1,4,13
"yes",73,3,15
"yes",114,5,13
"no",139,2,13
"yes",177,4,17
"yes",151,4,15
"yes",15,4,16
"yes",93,5,16
"yes",112,3,17
"yes",127,5,13
"yes",17,3,16
"yes",72,4,14
"yes",120,5,16
"yes",105,3,8
"no",36,3,16
"yes",61,4,16
"no",177,3,13
"yes",139,3,10
"no",131,2,11
"yes",1,5,11
"no",121,4,16
"yes",157,4,2
"no",73,3,16
"yes",59,5,13
"yes",118,5,13
"yes",78,2,9
"yes",18,4,16
"yes",1,2,16
"yes",9,4,15
"no",100,3,16
"no",8,5,16
"no",11,4,16
"no",87,5,13
"yes",20,4,12
"yes",177,5,16
"yes",178,4,6
"yes",130,3,16
"yes",87,4,16
"yes",71,7,15
"no",61,2,6
"yes",136,4,16
"yes",139,7,13
"yes",139,4,15
"yes",4,4,1
"no",68,4,13
"yes",151,3,16
"yes",17,4,12
"yes",131,3,12
"no",125,2,9
"yes",97,4,16
"yes",35,3,13
"yes",36,5,15
"yes",140,5,2
"yes",206,4,13
"yes",4,3,16
"no",27,5,12
"no",87,5,11
"yes",9,4,6
"yes",127,6,11
"yes",127,2,14
"yes",105,2,17
"yes",206,4,16
"yes",120,7,10
"yes",26,4,13
"no",114,3,15
"no",1,10,5
"no",139,9,14
"yes",140,2,13
"no",206,5,13
"yes",81,3,16
"yes",9,2,13
"yes",130,5,12
"yes",105,5,16
"yes",125,3,14
"yes",2,2,1
"yes",2,4,10
"no",206,3,10
"yes",73,3,12
"yes",20,4,15
"no",140,3,15
"yes",175,5,6
"no",158,5,6
"no",195,7,17
"yes",18,7,11
"yes",114,3,3
"no",127,3,3
"yes",9,2,6
"yes",113,4,9
"yes",71,7,10
"yes",195,3,15
"no",140,2,16
"yes",128,3,13
"yes",11,2,6
"yes",130,3,15
"yes",177,4,11
"yes",159,5,12
"yes",178,3,18
"yes",9,2,9
"yes",72,4,16
"yes",31,5,9
"yes",178,2,16
"yes",93,3,6
"no",1,6,15
"yes",27,2,16
"yes",1,2,18
"yes",97,3,16
"yes",1,4,14
"yes",68,5,3
"yes",140,3,15
"no",27,3,9
"yes",2,2,8
"yes",105,3,16
"yes",175,5,16
"yes",100,3,6
"yes",168,3,9
"yes",157,4,10
"yes",73,4,17
"yes",73,4,13
"yes",8,4,9
"yes",105,4,16
"yes",17,2,1
"yes",105,4,1
"yes",140,3,9
"yes",81,2,15
"yes",22,6,17
"yes",52,7,16
"yes",120,3,13
"yes",157,4,17
"yes",20,3,12
"yes",73,3,17
"yes",131,5,16
"yes",9,5,13
"no",136,4,13
"yes",36,2,13
"yes",130,7,5
"yes",51,5,2
"yes",73,2,14
"yes",131,4,12
"yes",1,4,15
"yes",97,5,10
"yes",114,7,6
"yes",91,4,10
"yes",9,5,12
"yes",93,10,17
"yes",78,5,6
"yes",113,10,13
"yes",125,5,16
"no",120,4,16
"no",27,5,13
"yes",31,4,12
"yes",113,3,15
"yes",37,4,13
"yes",22,3,15
"no",81,2,13
"no",71,3,16
"yes",71,5,16
"yes",151,4,13
"yes",195,3,6
"yes",140,2,12
"yes",125,3,13
"yes",177,2,16
"no",36,3,13
"yes",82,3,9
"yes",159,4,2
"yes",131,3,10
"yes",140,2,2
"yes",139,3,6
"no",1,3,8
"yes",127,3,13
"no",15,7,1
"no",113,5,16
"yes",27,3,18
"yes",68,7,15
"yes",1,5,5
"no",105,5,14
"yes",22,2,12
"yes",2,3,2
"no",42,10,15
"yes",68,4,3
"yes",37,5,15
"yes",131,5,17
"yes",15,4,3
"yes",178,6,16
"yes",206,5,13
"yes",91,3,10
"yes",2,3,12
"yes",1,4,15
"yes",78,6,12
"yes",206,6,17
"no",130,4,6
"no",71,5,16
"yes",73,2,9
"yes",68,5,16
"yes",8,7,13
"yes",71,4,17
"yes",125,6,16
"yes",20,3,6
"yes",73,5,15
"yes",59,5,11
"no",80,3,15
"yes",127,5,15
"yes",100,5,13
"yes",31,4,13
"yes",168,5,16
"yes",131,4,10
"yes",61,4,14
"yes",2,6,11
"yes",4,4,15
"yes",112,3,16
"yes",37,2,3
"yes",113,4,6
"yes",82,4,16
"yes",157,5,3
"yes",35,5,17
"yes",120,5,13
"no",81,4,6
"yes",105,6,13
"yes",100,2,15
"yes",118,3,8
"yes",131,4,1
"yes",130,4,16
"yes",9,3,17
"yes",52,3,16
"yes",52,4,11
"no",52,3,13
"yes",178,5,16
"yes",78,2,16
"yes",157,3,16
"yes",140,3,6
"yes",26,2,16
"yes",36,5,14
"yes",61,3,11
"yes",97,9,10
"yes",18,3,14
"yes",91,4,1
"yes",168,3,12
"yes",112,2,3
"yes",127,5,16
"yes",105,3,15
"yes",15,7,14
"yes",118,6,16
"no",71,2,17
"yes",73,2,17
"yes",51,3,14
"yes",17,4,17
"yes",82,3,9
"yes",131,6,5
"yes",127,3,10
"yes",8,4,6
"yes",18,3,1
"yes",87,3,13
"yes",159,2,3
"yes",140,3,2
"yes",206,9,14
"no",61,3,8
"no",1,5,1
"yes",148,2,9
"yes",31,4,12
"yes",206,3,8
"yes",93,4,12
"no",42,5,2
"no",18,3,16
"yes",125,3,16
"yes",114,3,10
"yes",78,2,11
"yes",20,2,9
"yes",195,5,3
"no",112,3,13
"yes",36,3,5
"no",26,2,11
"yes",82,3,6
"yes",118,3,1
"no",100,5,2
"yes",72,4,16
"yes",36,5,14
"yes",125,7,10
"yes",206,4,9
"yes",168,5,10
"yes",158,2,17
"yes",96,5,16
"yes",130,4,16
"no",15,2,13
"yes",140,5,12
"yes",18,7,17
"yes",9,3,10
"yes",178,3,1
"yes",37,6,11
"yes",157,5,16
"yes",31,5,5
"yes",18,5,10
"no",73,2,9
"yes",127,3,6
"yes",71,4,16
"yes",102,5,13
"yes",178,7,14
"yes",2,4,2
"no",42,4,1
"yes",168,5,2
"no",8,3,17
"yes",68,5,16
"yes",113,9,11
"yes",91,4,16
"yes",8,3,14
"no",1,2,16
"no",91,4,17
"yes",51,3,12
"yes",8,5,12
"no",120,7,13
"yes",118,3,12
"yes",113,5,13
"yes",51,5,12
"yes",96,5,11
"no",82,3,15
"yes",118,10,16
"yes",27,4,16
"yes",178,2,13
"yes",118,3,16
"yes",113,4,12
"no",36,4,9
"yes",130,5,13
"yes",127,3,13
"no",91,4,10
"no",36,4,16
"yes",168,3,9
"yes",143,4,17
"yes",100,3,16
"yes",96,3,16
"yes",1,3,14
"no",9,5,16
"yes",130,5,15
"no",9,5,8
"yes",175,4,13
"yes",128,4,12
"yes",130,3,3
"yes",18,5,9
"yes",148,7,13
"yes",17,5,1
"yes",2,3,6
"yes",140,6,14
"yes",61,3,13
"yes",120,4,16
"yes",73,5,16
"no",1,3,3
"yes",1,3,15
"no",1,2,13
"yes",175,2,16
"no",1,4,14
"no",151,2,16
"yes",114,3,10
"yes",78,3,13
"yes",120,4,13
"yes",4,3,16
"yes",105,2,13
"yes",128,4,2
"yes",2,5,13
"yes",82,3,17
"no",131,7,13
"yes",27,5,14
"yes",27,3,8
"yes",61,4,16
"no",61,3,3
"yes",80,5,15
"no",20,3,13
"yes",11,5,16
"yes",52,3,9
"no",206,4,12
"yes",93,6,13
"no",127,5,15
"yes",36,6,16
"yes",158,2,13
"no",1,2,5
"yes",2,6,5
"yes",159,6,16
"no",18,3,11
"yes",143,4,16
"yes",18,10,16
"no",1,5,15
"no",105,4,16
"no",140,2,12
"yes",96,3,15
"yes",121,4,14
"yes",128,4,10
"yes",143,2,16
"yes",2,3,8
"yes",125,3,15
"yes",9,5,16
"yes",113,2,17
"yes",175,2,15
"no",71,4,15
"yes",18,2,10
"yes",61,2,13
"yes",9,6,1
"yes",151,2,13
"yes",4,4,1
"yes",157,3,13
"yes",102,4,14
"yes",1,5,6
"no",100,7,16
"yes",1,2,9
"yes",42,7,6
"yes",130,3,13
"yes",177,5,1
"yes",91,5,18
"no",18,3,15
"yes",158,6,3
"yes",22,3,13
"no",82,4,12
"yes",80,3,13
"no",42,7,6
"yes",61,4,3
"yes",128,4,5
"yes",157,3,15
"yes",118,4,6
"no",139,3,9
"yes",128,10,17
"yes",71,3,17
"yes",158,5,10
"yes",68,3,13
"yes",91,3,3
"yes",73,2,16
"no",27,4,16
"yes",148,5,13
"yes",35,4,13
"no",114,5,17
"yes",1,4,14
"no",11,5,13
"yes",2,3,13
"yes",2,7,10
"yes",11,5,5
"yes",1,4,3
"no",27,3,16
"yes",2,2,16
"yes",120,5,14
"yes",1,5,15
"no",118,3,18
"yes",2,6,9
"no",130,7,11
"yes",140,3,10
"yes",177,3,16
"no",15,3,13
"yes",158,5,16
"yes",87,7,13
"yes",71,5,15
"yes",157,5,2
"yes",8,2,3
"yes",158,4,16
"yes",120,4,13
"yes",120,5,6
"yes",2,5,1
"no",178,5,12
"yes",121,4,13
"no",91,2,15
"yes",78,4,6
"yes",22,3,1
"yes",136,5,9
"yes",1,3,1
"yes",177,5,15
"yes",4,4,13
"yes",1,4,1
"yes",96,3,16
"yes",105,3,14
"yes",93,5,13
"yes",151,2,9
"yes",120,5,13
"yes",159,3,3
"no",52,4,5
"no",1,5,12
"yes",177,3,13
"yes",120,4,9
"yes",131,6,6
"yes",139,5,1
"yes",118,5,6
"yes",159,2,14
"no",102,3,13
"yes",80,4,16
"yes",22,3,17
"no",26,4,11
"yes",100,3,6
"yes",120,5,14
"no",87,4,16
"yes",78,4,3
"yes",120,3,15
"yes",42,5,8
"yes",1,6,13
"yes",114,3,2
"yes",206,5,18
"no",130,5,8
"yes",112,5,5
"no",31,5,15
"yes",15,2,15
"yes",178,5,1
"yes",20,3,3
"no",2,3,16
"yes",9,5,10
"yes",22,6,14
"yes",78,4,12
"yes",8,10,16
"yes",36,2,1
"yes",52,5,1
"yes",130,3,16
"yes",15,7,16
"yes",2,5,14
"yes",96,3,9
"yes",68,6,13
"yes",158,4,2
"yes",120,4,8
"yes",1,3,6
"yes",118,5,5
"yes",118,6,12
"yes",2,7,14
"yes",8,5,6
"yes",100,5,12
"yes",9,2,15
"yes",71,2,12
"yes",8,5,2
"yes",105,2,15
"yes",97,2,13
"yes",158,4,3
"yes",120,10,1
"no",159,2,16
"no",20,4,1
"no",81,7,16
"yes",206,4,13
"yes",139,3,5
"yes",26,5,12
